"school","nstudents"
"1000",3701
"10000",2258
"101311",161
"101314",265
"101328",105
"101337",103
"102303",283
"102306",237
"102316",373
"103301",111
"103304",81
"103333",42
"104306",129
"104316",271
"104317",186
"105313",474
"105322",113
"105331",245
"106303",254
"106316",307
"106322",155
"106334",163
"107302",211
"107306",37
"107325",24
"108310",204
"108312",161
"108316",258
"108334",267
"109306",182
"109316",395
"109322",117
"11000",1140
"110303",176
"110304",323
"110311",100
"110316",259
"111303",172
"111310",103
"111327",96
"111335",202
"112303",330
"112311",300
"112315",320
"113306",203
"113312",171
"113315",202
"113322",284
"114306",115
"114316",265
"114317",208
"115303",115
"115307",82
"115310",65
"115320",53
"116305",185
"116306",105
"116336",189
"117303",116
"117316",295
"117328",43
"118304",193
"118306",87
"118317",228
"119301",371
"119303",161
"12000",1793
"120302",340
"120306",224
"120316",257
"121303",216
"121306",160
"121313",628
"122304",337
"122306",329
"122312",243
"123302",474
"123316",253
"124301",334
"124311",237
"124327",230
"125318",209
"125329",168
"125330",166
"125332",135
"126303",83
"126306",78
"126312",73
"126317",197
"127302",341
"127314",269
"127317",119
"128303",357
"128305",267
"128312",212
"128327",314
"129316",312
"129319",159
"129336",204
"13000",1708
"130306",106
"130311",124
"130317",220
"131306",225
"131316",345
"131327",216
"132302",363
"132309",179
"132313",522
"132314",341
"133306",108
"133316",389
"133319",152
"133320",182
"134306",187
"134311",193
"134313",386
"135303",50
"135306",55
"135311",104
"135316",127
"136310",241
"136321",65
"136327",184
"136328",94
"137303",95
"137311",113
"137312",70
"137316",253
"138301",103
"138306",71
"138316",220
"138317",155
"139306",150
"139320",132
"139336",229
"14000",995
"140303",81
"140306",44
"140320",53
"141306",177
"141336",222
"142315",126
"142316",220
"142327",83
"143302",239
"143306",154
"143314",174
"143316",218
"144301",238
"144311",169
"144323",163
"145303",42
"145305",59
"145312",45
"145317",134
"146309",143
"146313",405
"147315",144
"147336",218
"148303",51
"148306",39
"148316",186
"149301",187
"149306",80
"149312",141
"149317",220
"15000",1291
"150306",213
"150310",121
"150336",402
"151319",225
"151327",143
"152303",78
"152315",104
"152316",208
"153308",222
"153316",230
"153326",72
"153327",129
"154311",55
"154312",27
"154316",82
"155319",70
"155324",140
"155336",92
"156303",48
"156306",11
"156310",35
"156313",94
"157306",79
"157312",137
"157336",210
"16000",1547
"17000",1276
"18000",1330
"19000",1223
"2000",3344
"20000",1246
"201000",1272
"202000",818
"3000",3730
"301000",810
"4000",2908
"401000",1088
"402000",769
"403000",1325
"404000",1092
"405000",963
"406000",919
"407000",358
"408000",1020
"409000",850
"410000",364
"411000",515
"412000",1084
"413000",1499
"414000",670
"415000",1003
"416000",601
"417000",1059
"418000",1124
"419000",866
"420000",737
"421000",674
"422000",1215
"423000",963
"424000",908
"425000",1134
"426000",854
"427000",452
"428000",460
"429000",1681
"430000",662
"431000",823
"432000",873
"433000",1236
"434000",1207
"435000",758
"436000",351
"437000",536
"438000",763
"439000",601
"440000",1013
"441000",716
"442000",809
"443000",765
"444000",1109
"445000",1161
"446000",500
"447000",488
"448000",961
"449000",652
"450000",726
"451000",388
"5000",3249
"501100",1272
"502100",1678
"503100",1458
"504100",1748
"505300",1149
"506200",1345
"507100",1682
"508100",1703
"509100",807
"510100",1861
"511100",1505
"512300",1559
"513300",1349
"514300",799
"515200",868
"517100",1295
"6000",3863
"601000",2018
"602000",3757
"603000",1678
"604000",4102
"605000",1365
"606000",2040
"607000",3685
"608000",1275
"609000",3797
"611000",1770
"612000",2974
"613000",1840
"614000",1529
"615000",3855
"7000",2802
"701000",297
"702000",531
"703000",667
"704000",316
"705000",428
"706000",204
"707000",161
"708000",545
"709000",325
"710000",714
"711000",673
"712000",352
"713000",772
"714000",770
"715000",214
"716000",517
"717000",354
"718000",408
"719000",393
"720000",107
"721000",322
"722000",196
"723000",97
"724000",540
"725000",325
"726000",222
"727000",532
"728000",172
"729000",303
"730000",720
"731000",287
"732000",457
"733000",407
"734000",430
"735000",432
"736000",553
"737000",679
"738000",281
"739000",546
"740000",263
"741000",328
"742000",559
"743000",215
"744000",478
"745000",390
"746000",81
"747000",220
"748000",263
"749000",749
"750000",416
"751000",558
"752000",273
"753000",314
"754000",446
"755000",376
"756000",167
"757000",1010
"758000",225
"759000",259
"760000",412
"761000",440
"762000",443
"763000",334
"764000",434
"765000",321
"766000",323
"767000",345
"768000",415
"769000",153
"770000",450
"771000",372
"772000",52
"773000",656
"774000",93
"775000",272
"776000",434
"777000",189
"778000",92
"779000",482
"780000",348
"781000",86
"782000",162
"783000",195
"784000",340
"785000",625
"786000",33
"787000",224
"788000",425
"789000",472
"790000",324
"791000",32
"792000",325
"793000",222
"794000",328
"795000",401
"796000",30
"797000",53
"798000",165
"799000",926
"8000",1295
"801053",123
"801070",185
"801076",123
"801077",61
"802039",52
"802046",61
"802069",58
"803036",60
"803039",61
"803046",238
"804067",169
"804085",255
"804087",176
"805036",60
"805039",60
"805046",119
"805071",60
"805076",125
"806021",218
"806087",213
"806090",99
"807044",349
"808039",61
"808046",120
"808066",62
"809027",87
"809088",169
"809090",128
"810016",130
"810085",72
"810087",238
"811044",183
"811046",102
"812036",52
"812046",60
"812053",120
"812083",27
"813086",220
"813087",225
"813090",173
"814036",58
"814053",62
"814071",61
"815036",164
"815039",90
"815053",241
"815084",172
"816046",173
"816084",40
"817015",143
"817090",205
"818038",178
"818046",186
"819054",125
"819076",119
"820036",124
"820044",296
"821036",48
"821046",123
"821083",40
"822055",344
"822090",161
"823067",180
"823087",429
"824022",160
"824087",402
"825036",123
"825046",185
"826025",85
"826087",172
"826091",84
"827036",60
"827046",122
"827066",176
"827071",61
"827077",44
"827083",60
"828035",181
"828039",60
"828046",184
"828066",185
"828077",60
"828079",117
"829039",61
"829046",122
"829069",121
"830036",61
"830046",62
"830066",60
"831015",223
"831087",266
"832020",84
"832067",307
"832085",167
"833046",186
"834055",214
"834087",173
"835088",362
"836009",88
"836087",135
"837009",130
"837087",168
"838087",257
"840060",87
"840087",89
"840091",86
"841046",118
"841066",292
"842013",41
"842024",40
"843013",42
"843015",41
"844046",60
"844070",238
"844076",123
"845036",60
"845046",62
"845070",243
"846069",121
"846071",62
"846082",62
"847066",60
"847069",60
"847070",178
"847082",44
"848046",65
"848069",125
"848076",121
"849067",123
"850046",178
"850066",118
"850079",113
"851089",168
"852089",99
"853089",92
"854070",64
"854076",63
"854081",61
"855046",240
"856046",60
"857087",165
"870000",206
"871000",65
"872000",202
"873000",100
"874000",188
"875000",218
"876000",428
